case_id,question,context_count,citations_count,expected_documents,retrieved_documents,error,answer_relevancy,context_precision,context_recall,faithfulness
gitlab-handbook-introduction,What is the GitLab team handbook used for?,5,3,content/handbook/_index.md,content/handbook/about/direction.md;content/handbook/_index.md;content/handbook/about/direction.md;content/handbook/about/direction.md;content/handbook/about/handbook-usage.md,,0.9598792804868914,0.6388888888675925,1.0,0.8
gitlab-handbook-advantages,Why does GitLab say the handbook helps onboarding and teamwork?,5,3,content/handbook/about/_index.md,content/handbook/about/_index.md;content/handbook/about/_index.md;content/handbook/about/handbook-usage.md;content/handbook/about/direction.md;content/handbook/about/handbook-usage.md,,0.969976496818925,0.7555555555303703,0.0,1.0
gitlab-handbook-contributing,How can someone contribute improvements to the GitLab Handbook?,5,3,content/handbook/about/contributing.md,content/handbook/_index.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/contributing.md;content/handbook/about/handbook-usage.md,,0.9999999999999997,0.99999999998,1.0,1.0
gitlab-handbook-direction,What does the handbook direction page say the handbook is the source of truth for?,5,3,content/handbook/about/direction.md,content/handbook/about/direction.md;content/handbook/about/handbook-usage.md;content/handbook/about/direction.md;content/handbook/about/handbook-usage.md;content/handbook/about/direction.md,,0.676036082239951,0.8333333332916666,1.0,1.0
gitlab-handbook-editing,Where should someone look if they want to learn how to edit the handbook?,5,3,content/handbook/about/editing-handbook/_index.md,content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/practical-handbook-edits.md,,0.8974317392388205,0.49999999995,1.0,1.0
gitlab-team-page-entry,What does the edit your team page entry page specifically cover?,5,3,content/handbook/about/editing-handbook/edit-team-page.md,content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md,,0.9789256738520883,0.9999999999,1.0,1.0
gitlab-practical-edits,Who are the practical handbook editing tips intended to help?,5,3,content/handbook/about/editing-handbook/practical-handbook-edits.md,content/handbook/about/editing-handbook/practical-handbook-edits.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/practical-handbook-edits.md;content/handbook/about/editing-handbook/practical-handbook-edits.md;content/handbook/about/editing-handbook/_index.md,,0.9999999999999996,0.9999999999,1.0,1.0
gitlab-handbook-escalation,Which handbook issues should only be escalated according to the handbook escalation page?,5,3,content/handbook/about/escalation.md,content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md,,0.8732068491966558,0.49999999995,1.0,1.0
gitlab-handbook-usage-flow,What is the general flow for changing a process in the GitLab handbook?,5,3,content/handbook/about/handbook-usage.md,content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md,,0.9999999999999997,0.99999999998,1.0,1.0
gitlab-acquisition-strategy,What is GitLab's key goal when pursuing acquisitions?,5,3,content/handbook/acquisitions/_index.md,content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md,,0.9961885444986097,0.9999999999,1.0,1.0
gitlab-handbook-maintenance,Who are the handbook DRIs asked to ping when handbook escalation does not receive a response?,5,3,content/handbook/about/maintenance.md,content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/editing-handbook/_index.md,,0.745819840508851,0.99999999995,1.0,1.0
gitlab-handbook-style-guide,Where should handbook contributors look for writing and style guidance?,5,3,content/handbook/about/style-guide.md,content/handbook/about/style-guide.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md,,0.9999999999999997,0.99999999998,1.0,1.0
gitlab-acquisition-process-overview,What are the five key stages in GitLab's acquisition process?,5,3,content/handbook/acquisitions/acquisition-process/_index.md,content/handbook/acquisitions/acquisition-process/_index.md;content/handbook/acquisitions/acquisition-process/_index.md;content/handbook/acquisitions/acquisition-process/_index.md;content/handbook/acquisitions/acquisition-process/_index.md;content/handbook/acquisitions/acquisition-process/_index.md,,0.9495170972567754,0.0,0.0,0.8888888888888888
gitlab-acquisition-communications,What is the acquisition process communications page used for?,5,3,content/handbook/acquisitions/acquisition-process/acquisition-process-communications.md,content/handbook/acquisitions/acquisition-process/acquisition-process-communications.md;content/handbook/acquisitions/acquisition-process/acquisition-process-communications.md;content/handbook/acquisitions/acquisition-process/integration.md;content/handbook/acquisitions/acquisition-process/acquisition-process-communications.md;content/handbook/acquisitions/acquisition-process/acquisition-process-communications.md,,0.8257803450131588,0.99999999998,1.0,0.9666666666666667
gitlab-acquisition-integration,What does the acquisition integration page focus on?,5,3,content/handbook/acquisitions/acquisition-process/integration.md,content/handbook/acquisitions/acquisition-process/integration.md;content/handbook/acquisitions/acquisition-process/_index.md;content/handbook/acquisitions/acquisition-process/integration.md;content/handbook/acquisitions/acquisition-process/integration.md;content/handbook/acquisitions/acquisition-process/_index.md,,0.9999999999999996,0.499999999975,1.0,1.0
